StateName,abbr,CommuneCount,CoopCount
Alabama,AL,11,2
Alaska,AK,4,3
Arizona,AZ,19,8
Arkansas,AR,7,2
California,CA,112,28
Colorado,CO,38,16
Connecticut,CT,7,8
Delaware,DE,4,1
Florida,FL,22,31
Georgia,GA,9,6
Hawaii,HI,15,3
Idaho,ID,2,3
Illinois,IL,15,16
Indiana,IN,8,22
Iowa,IA,7,7
Kansas,KS,1,6
Kentucky,KY,4,4
Louisiana,LA,2,2
Maine,ME,10,14
Maryland,MD,10,10
Massachusetts,MA,29,13
Michigan,MI,29,28
Minnesota,MN,22,45
Mississippi,MS,3,1
Missouri,MO,19,4
Montana,MT,2,3
Nebraska,NE,4,5
Nevada,NV,12,2
New Hampshire,NH,3,6
New Jersey,NJ,3,5
New Mexico,NM,18,8
New York,NY,46,29
North Carolina,NC,35,15
North Dakota,ND,1,1
Ohio,OH,14,16
Oklahoma,OK,5,1
Oregon,OR,66,16
Pennsylvania,PA,15,8
Rhode Island,RI,2,1
South Carolina,SC,1,3
South Dakota,SD,0,6
Tennessee,TN,13,10
Texas,TX,21,9
Utah,UT,7,3
Vermont,VT,22,16
Virginia,VA,29,6
Washington,WA,64,28
West Virginia,WV,6,4
Wisconsin,WI,21,29
Wyoming,WY,2,2
District of Columbia,DC,4,0
